2024-09-10 15:32:53,772 - INFO - Starting training...
2024-09-10 15:32:53,870 - INFO - Epoch [1/1000], Loss_G: 0.1778
2024-09-10 15:32:54,643 - INFO - Epoch [11/1000], Loss_G: 0.0235
2024-09-10 15:32:55,468 - INFO - Epoch [21/1000], Loss_G: -0.1401
2024-09-10 15:32:56,335 - INFO - Epoch [31/1000], Loss_G: -0.2831
2024-09-10 15:32:57,149 - INFO - Epoch [41/1000], Loss_G: -0.3998
2024-09-10 15:32:57,966 - INFO - Epoch [51/1000], Loss_G: -0.4868
2024-09-10 15:32:58,797 - INFO - Epoch [61/1000], Loss_G: -0.5585
2024-09-10 15:32:59,653 - INFO - Epoch [71/1000], Loss_G: -0.6163
2024-09-10 15:33:00,614 - INFO - Epoch [81/1000], Loss_G: -0.6647
2024-09-10 15:33:01,501 - INFO - Epoch [91/1000], Loss_G: -0.7073
2024-09-10 15:33:02,384 - INFO - Epoch [101/1000], Loss_G: -0.7496
2024-09-10 15:33:03,216 - INFO - Epoch [111/1000], Loss_G: -0.7872
2024-09-10 15:33:04,249 - INFO - Epoch [121/1000], Loss_G: -0.8252
2024-09-10 15:33:05,417 - INFO - Epoch [131/1000], Loss_G: -0.8608
2024-09-10 15:33:06,273 - INFO - Epoch [141/1000], Loss_G: -0.8969
2024-09-10 15:33:07,064 - INFO - Epoch [151/1000], Loss_G: -0.9337
2024-09-10 15:33:07,904 - INFO - Epoch [161/1000], Loss_G: -0.9707
2024-09-10 15:33:08,712 - INFO - Epoch [171/1000], Loss_G: -1.0066
2024-09-10 15:33:09,495 - INFO - Epoch [181/1000], Loss_G: -1.0436
2024-09-10 15:33:10,323 - INFO - Epoch [191/1000], Loss_G: -1.0813
2024-09-10 15:33:11,119 - INFO - Epoch [201/1000], Loss_G: -1.1190
2024-09-10 15:33:11,911 - INFO - Epoch [211/1000], Loss_G: -1.1573
2024-09-10 15:33:12,682 - INFO - Epoch [221/1000], Loss_G: -1.1967
2024-09-10 15:33:13,478 - INFO - Epoch [231/1000], Loss_G: -1.2368
2024-09-10 15:33:14,337 - INFO - Epoch [241/1000], Loss_G: -1.2756
